short_name,long_name,overall,nationality_name,shooting,passing,defending
L. Messi,Lionel Andrés Messi Cuccittini,94,Argentina,91.0,90.0,32.0
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,94,Portugal,92.0,82.0,33.0
M. Neuer,Manuel Peter Neuer,92,Germany,,,
Neymar,Neymar da Silva Santos Júnior,92,Brazil,84.0,78.0,30.0
L. Suárez,Luis Alberto Suárez Díaz,92,Uruguay,90.0,79.0,42.0
R. Lewandowski,Robert Lewandowski,92,Poland,92.0,79.0,44.0
K. De Bruyne,Kevin De Bruyne,91,Belgium,86.0,92.0,61.0
K. Mbappé,Kylian Mbappé Lottin,91,France,88.0,80.0,36.0
E. Hazard,Eden Michael Hazard,91,Belgium,83.0,86.0,35.0
J. Oblak,Jan Oblak,91,Slovenia,,,
De Gea,David De Gea Quintana,91,Spain,,,
L. Modrić,Luka Modrić,91,Croatia,76.0,90.0,70.0
Sergio Ramos,Sergio Ramos García,91,Spain,65.0,72.0,90.0
M. Salah,Mohamed Salah Ghaly,91,Egypt,89.0,82.0,45.0
K. Benzema,Karim Benzema,91,France,88.0,83.0,39.0
V. van Dijk,Virgil van Dijk,91,Netherlands,60.0,70.0,91.0
T. Kroos,Toni Kroos,90,Germany,81.0,89.0,73.0
Z. Ibrahimović,Zlatan Ibrahimović,90,Sweden,91.0,81.0,34.0
A. Robben,Arjen Robben,90,Netherlands,86.0,83.0,32.0
Alisson,Alisson Ramsés Becker,90,Brazil,,,
G. Higuaín,Gonzalo Gerardo Higuaín,90,Argentina,87.0,70.0,25.0
M. ter Stegen,Marc-André ter Stegen,90,Germany,,,
S. Mané,Sadio Mané,90,Senegal,85.0,80.0,44.0
G. Bale,Gareth Frank Bale,90,Wales,87.0,84.0,57.0
M. Hummels,Mats Hummels,90,Germany,58.0,76.0,91.0
G. Chiellini,Giorgio Chiellini,90,Italy,46.0,56.0,91.0
David Silva,David Josué Jiménez Silva,90,Spain,75.0,88.0,52.0
D. Godín,Diego Roberto Godín Leal,90,Uruguay,48.0,65.0,89.0
S. Agüero,Sergio Leonel Agüero del Castillo,90,Argentina,90.0,77.0,33.0
H. Kane,Harry Kane,90,England,91.0,80.0,47.0
J. Boateng,Jérôme Boateng,90,Germany,50.0,72.0,90.0
N. Kanté,N'Golo Kanté,90,France,66.0,75.0,87.0
T. Courtois,Thibaut Nicolas Marc Courtois,90,Belgium,,,
E. Hazard,Eden Hazard,90,Belgium,82.0,84.0,32.0
G. Buffon,Gianluigi Buffon,89,Italy,,,
R. Sterling,Raheem Sterling,89,England,82.0,79.0,45.0
A. Griezmann,Antoine Griezmann,89,France,86.0,84.0,57.0
M. Özil,Mesut Özil,89,Germany,74.0,87.0,24.0
Thiago Silva,Thiago Emiliano da Silva,89,Brazil,57.0,73.0,90.0
P. Dybala,Paulo Bruno Exequiel Dybala,89,Argentina,85.0,84.0,25.0
J. Kimmich,Joshua Walter Kimmich,89,Germany,73.0,86.0,83.0
E. Cavani,Edinson Roberto Cavani Gómez,89,Uruguay,87.0,72.0,52.0
Sergio Busquets,Sergio Busquets i Burgos,89,Spain,62.0,80.0,85.0
Ederson,Ederson Santana de Moraes,89,Brazil,,,
Casemiro,Carlos Henrique Venancio Casimiro,89,Brazil,73.0,75.0,87.0
Iniesta,Andrés Iniesta Luján,89,Spain,72.0,89.0,59.0
A. Sánchez,Alexis Alejandro Sánchez Sánchez,89,Chile,84.0,80.0,40.0
G. Donnarumma,Gianluigi Donnarumma,89,Italy,,,
H. Son,손흥민 孙兴慜,89,Korea Republic,87.0,82.0,42.0
Isco,Francisco Román Alarcón Suárez,89,Spain,81.0,85.0,61.0
K. Navas,Keylor Navas Gamboa,89,Costa Rica,,,
K. Koulibaly,Kalidou Koulibaly,89,Senegal,28.0,54.0,89.0
E. Haaland,Erling Braut Haaland,89,Norway,91.0,65.0,49.0
T. Courtois,Thibaut Courtois,89,Belgium,,,
Piqué,Gerard Piqué Bernabéu,88,Spain,61.0,71.0,88.0
Marcelo,Marcelo Vieira da Silva Júnior,88,Brazil,72.0,83.0,80.0
S. Handanovič,Samir Handanovič,88,Slovenia,,,
H. Lloris,Hugo Lloris,88,France,,,
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,88,Brazil,83.0,81.0,61.0
M. Reus,Marco Reus,88,Germany,87.0,84.0,45.0
Thiago,Thiago Alcântara do Nascimento,88,Spain,75.0,85.0,62.0
P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,88,Gabon,84.0,75.0,37.0
R. Lukaku,Romelu Lukaku Menama,88,Belgium,87.0,74.0,39.0
Coutinho,Philippe Coutinho Correia,88,Brazil,82.0,86.0,52.0
P. Pogba,Paul Pogba,88,France,79.0,86.0,69.0
C. Eriksen,Christian Dannemann Eriksen,88,Denmark,80.0,88.0,47.0
Bruno Fernandes,Bruno Miguel Borges Fernandes,88,Portugal,86.0,89.0,70.0
L. Insigne,Lorenzo Insigne,88,Italy,77.0,84.0,36.0
B. Schweinsteiger,Bastian Schweinsteiger,88,Germany,81.0,85.0,78.0
F. Ribéry,Franck Bilal Ribéry,88,France,78.0,85.0,29.0
P. Lahm,Philipp Lahm,88,Germany,56.0,82.0,86.0
P. Čech,Petr Čech,88,Czech Republic,,,
Pepe,Kléper Laveran de Lima Ferreira,88,Portugal,51.0,57.0,87.0
L. Bonucci,Leonardo Bonucci,88,Italy,54.0,70.0,87.0
J. Rodríguez,James David Rodríguez Rubio,88,Colombia,86.0,88.0,50.0
Marquinhos,Marcos Aoás Corrêa,88,Brazil,56.0,75.0,89.0
Rúben Dias,Rúben dos Santos Gato Alves Dias,88,Portugal,38.0,66.0,88.0
Falcao,Radamel Falcao García Zárate,88,Colombia,86.0,64.0,40.0
R. van Persie,Robin van Persie,88,Netherlands,89.0,81.0,33.0
João Cancelo,João Pedro Cavaco Cancelo,88,Portugal,73.0,85.0,81.0
L. Goretzka,Leon Christoph Goretzka,88,Germany,82.0,82.0,81.0
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,88,Portugal,78.0,84.0,66.0
I. Rakitić,Ivan Rakitić,87,Croatia,84.0,86.0,60.0
A. Robertson,Andrew Robertson,87,Scotland,61.0,81.0,82.0
F. de Jong,Frenkie de Jong,87,Netherlands,69.0,85.0,77.0
Cesc Fàbregas,Francesc Fàbregas i Soler,87,Spain,78.0,90.0,64.0
D. Mertens,Dries Mertens,87,Belgium,83.0,80.0,35.0
Á. Di María,Ángel Fabián Di María Hernández,87,Argentina,81.0,85.0,48.0
T. Alexander-Arnold,Trent Alexander-Arnold,87,England,68.0,88.0,80.0
A. Vidal,Arturo Erasmo Vidal Pardo,87,Chile,81.0,80.0,84.0
T. Müller,Thomas Müller,87,Germany,84.0,83.0,56.0
Rodri,Rodrigo Hernández Cascante,87,Spain,72.0,77.0,83.0
D. Alaba,David Olatukunbo Alaba,87,Austria,73.0,81.0,83.0
Fabinho,Fábio Henrique Tavares,87,Brazil,69.0,78.0,86.0
M. Verratti,Marco Verratti,87,Italy,61.0,87.0,79.0
Fernandinho,Fernando Luiz Rosa,87,Brazil,74.0,79.0,84.0
A. Laporte,Aymeric Laporte,87,France,50.0,71.0,88.0
M. Hamšík,Marek Hamšík,87,Slovakia,80.0,84.0,68.0
C. Immobile,Ciro Immobile,87,Italy,87.0,67.0,39.0
W. Szczęsny,Wojciech Tomasz Szczęsny,87,Poland,,,
Parejo,Daniel Parejo Muñoz,87,Spain,82.0,89.0,71.0
Jordi Alba,Jordi Alba Ramos,87,Spain,69.0,80.0,80.0
J. Vertonghen,Jan Bert Lieve Vertonghen,87,Belgium,63.0,74.0,87.0
T. Alderweireld,Toby Albertine Maurits Alderweireld,87,Belgium,57.0,73.0,89.0
M. Icardi,Mauro Emanuel Icardi Rivero,87,Argentina,85.0,61.0,36.0
S. Umtiti,Samuel Yves Umtiti,87,France,64.0,71.0,88.0
J. Sancho,Jadon Sancho,87,England,74.0,81.0,37.0
A. Rüdiger,Antonio Rüdiger,87,Germany,53.0,71.0,86.0
M. Maignan,Mike Maignan,87,France,,,
J. Vardy,Jamie Vardy,87,England,85.0,68.0,56.0
Gerard Moreno,Gerard Moreno Balagueró,86,Spain,86.0,77.0,46.0
R. Mahrez,Riyad Mahrez,86,Algeria,83.0,81.0,38.0
R. Varane,Raphaël Varane,86,France,45.0,62.0,86.0
A. Lacazette,Alexandre Lacazette,86,France,85.0,76.0,43.0
É. Mendy,Édouard Mendy,86,Senegal,,,
W. Rooney,Wayne Mark Rooney,86,England,86.0,81.0,47.0
C. Nkunku,Christopher Nkunku,86,France,81.0,83.0,67.0
A. Laporte,Aymeric Laporte,86,Spain,50.0,72.0,86.0
C. Tévez,Carlos Alberto Tevez,86,Argentina,88.0,76.0,45.0
